,Type of breach,Year of Breach,Total Records
0,CARD,2006,3
1,CARD,2007,2
2,CARD,2008,5
3,CARD,2009,4
4,CARD,2010,13
5,CARD,2011,14
6,CARD,2012,11
7,CARD,2013,11
8,CARD,2014,2
9,CARD,2016,1
10,CARD,2017,2
11,DISC,2005,20
12,DISC,2006,83
13,DISC,2007,98
14,DISC,2008,78
15,DISC,2009,52
16,DISC,2010,111
17,DISC,2011,119
18,DISC,2012,144
19,DISC,2013,187
20,DISC,2014,217
21,DISC,2015,162
22,DISC,2016,233
23,DISC,2017,190
24,DISC,2018,139
25,DISC,2019,28
26,HACK,2005,48
27,HACK,2006,75
28,HACK,2007,71
29,HACK,2008,57
30,HACK,2009,53
31,HACK,2010,106
32,HACK,2011,162
33,HACK,2012,245
34,HACK,2013,214
35,HACK,2014,324
36,HACK,2015,189
37,HACK,2016,408
38,HACK,2017,421
39,HACK,2018,128
40,HACK,2019,32
41,INSD,2005,10
42,INSD,2006,32
43,INSD,2007,26
44,INSD,2008,31
45,INSD,2009,30
46,INSD,2010,103
47,INSD,2011,95
48,INSD,2012,88
49,INSD,2013,101
50,INSD,2014,50
51,INSD,2015,13
52,INSD,2016,12
53,INSD,2017,11
54,INSD,2018,4
55,PHYS,2005,8
56,PHYS,2006,39
57,PHYS,2007,43
58,PHYS,2008,53
59,PHYS,2009,54
60,PHYS,2010,260
61,PHYS,2011,223
62,PHYS,2012,236
63,PHYS,2013,210
64,PHYS,2014,197
65,PHYS,2015,131
66,PHYS,2016,120
67,PHYS,2017,101
68,PHYS,2018,46
69,PHYS,2019,12
70,PORT,2005,38
71,PORT,2006,186
72,PORT,2007,163
73,PORT,2008,99
74,PORT,2009,62
75,PORT,2010,142
76,PORT,2011,119
77,PORT,2012,112
78,PORT,2013,111
79,PORT,2014,39
80,PORT,2015,45
81,PORT,2016,46
82,PORT,2017,10
83,STAT,2005,10
84,STAT,2006,48
85,STAT,2007,36
86,STAT,2008,22
87,STAT,2009,10
88,STAT,2010,37
89,STAT,2011,29
90,STAT,2012,21
91,STAT,2013,24
92,STAT,2014,9
93,STAT,2015,1
94,STAT,2016,2
95,UNKN,2005,2
96,UNKN,2006,16
97,UNKN,2007,17
98,UNKN,2008,10
99,UNKN,2009,4
100,UNKN,2010,12
101,UNKN,2011,27
102,UNKN,2012,26
103,UNKN,2013,26
104,UNKN,2014,11
105,UNKN,2015,13
106,UNKN,2016,10
107,UNKN,2017,139
108,UNKN,2018,391
